5621-2022-06-05_Fete_Cantonale_Neuchateloise-ST

1a;Gapany Benjamin;***;;;;;;;;;58.5
+;;;Duplan Steve;***;;;;;;;9.75
+;2;9.75;Colò Kilian;**;5;56.75;1;10.0;-1;0.25;10.0
+;2;19.75;Haenni Stéphane;**;10;55.5;1;20.0;-1;0.25;10.0
-;1;29.75;Kramer Lario;***;4;57.0;2;29.5;1;-0.25;8.75
+;1;38.5;Baeriswyl Christoph;**;6;56.5;2;38.25;1;-0.25;10.0
+;1;48.5;Kramer Lario;***;4;57.0;2;48.25;1;-0.25;10.0

2a;Moser Steven;**;;;;;;;;;58.0
o;;;Kramer Lario;***;;;;;;;8.5
+;5;8.5;Wieland Micha;;27;28.25;1;10.0;-4;1.5;10.0
+;6;18.5;Dorsaz Théo;*;12;55.0;6;18.5;0;0.0;10.0
+;4;28.5;Dind Samuel;**;12;55.0;5;28.25;1;-0.25;9.75
+;2;38.25;Balimann Sandro;*;5;56.75;1;38.5;-1;0.25;9.75
+;3;48.0;Gottofrey Marc;**;8;56.0;5;47.25;2;-0.75;10.0

3a;Duplan Steve;***;;;;;;;;;57.25
o;;;Gapany Benjamin;***;;;;;;;8.5
+;5;8.5;Hayoz Quentin;*;8;56.0;1;10.0;-4;1.5;10.0
+;6;18.5;Loup Alexandre;*;15;54.25;5;18.75;-1;0.25;10.0
-;4;28.5;Hofer Sven;**;6;56.5;3;28.75;-1;0.25;8.75
+;6;37.25;Pasquier Loïc;;7;56.25;4;37.75;-2;0.5;10.0
+;5;47.25;Dousse Michel;**;5;56.75;2;48.25;-3;1.0;10.0

4a;Kramer Lario;***;;;;;;;;;57.0
+;;;Moser Steven;**;;;;;;;9.75
+;2;9.75;Piemontesi Pascal;**;12;55.0;2;9.75;0;0.0;9.75
+;3;19.5;Dousse Michel;**;5;56.75;1;20.0;-2;0.5;10.0
-;2;29.5;Gapany Benjamin;***;1;58.5;1;29.75;-1;0.25;8.75
+;2;38.25;Rogivue Théo;*;11;55.25;2;38.25;0;0.0;10.0
o;2;48.25;Gapany Benjamin;***;1;58.5;1;48.5;-1;0.25;8.75

4b;Schär Alex;*;;;;;;;;;57.0
-;;;Matthey Mickaël;**;;;;;;;8.75
+;4;8.75;Siegenthaler Leo (2005);;10;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Schläfli Hugo;*;9;55.75;5;18.75;0;0.0;9.75
o;4;28.5;Ducrest Etienne;*;6;56.5;4;28.5;0;0.0;8.5
+;7;37.0;Martin Gaël (2004);;8;56.0;5;37.5;-2;0.5;10.0
+;6;47.0;Dind Samuel;**;12;55.0;8;46.5;2;-0.5;10.0

5a;Colò Kilian;**;;;;;;;;;56.75
+;;;Minder Florian;**;;;;;;;10.0
o;1;10.0;Gapany Benjamin;***;1;58.5;2;9.75;1;-0.25;8.5
+;6;18.5;Bucher Roman;;14;54.5;4;19.0;-2;0.5;10.0
+;4;28.5;Borcard Clovis;*;6;56.5;5;28.25;1;-0.25;9.75
-;2;38.25;Ducrest Etienne;*;6;56.5;1;38.5;-1;0.25;8.75
+;6;47.0;Theiler Nils (2004);;12;55.0;8;46.5;2;-0.5;9.75

5b;Balimann Sandro;*;;;;;;;;;56.75
-;;;Dorsaz Théo;*;;;;;;;9.0
+;3;9.0;Bapst Ludovic;;13;54.75;3;9.0;0;0.0;9.75
